 id ,  choice_text   , points , question_id 
  1 , Yes            ,      1 ,           1
  2 , No             ,      1 ,           1
  3 , Skip           ,      0 ,           1
  4 , Yes            ,      1 ,           2
  5 , No             ,      1 ,           2
  6 , Skip           ,      0 ,           2
  7 , Matatu         ,      1 ,           3
  8 , Taxi           ,      1 ,           3
  9 , Private car    ,      1 ,           3
 10 , Yes            ,      1 ,           4
 11 , No             ,      1 ,           4
 12 , Skip           ,      0 ,           4
 13 , Yes            ,      1 ,           5
 14 , No             ,      1 ,           5
 15 , Skip           ,      0 ,           5
 16 , Matatu         ,      1 ,           6
 17 , Taxi           ,      1 ,           6
 18 , Private car    ,      1 ,           6
 19 , Less than 1 Km ,      1 ,           7
 20 , 1 Km           ,      1 ,           7
 21 , 2 Km           ,      1 ,           7
 22 , 3 Km           ,      1 ,           7
 23 , 4 Km           ,      1 ,           7
 24 , 5 Km           ,      1 ,           7
 25 , More than 5 Km ,      1 ,           7
 26 , Kibera         ,      1 ,           8
 27 , Babadogo       ,      1 ,           8
 28 , Kawangware     ,      1 ,           8
 29 , Mathare        ,      1 ,           8
 30 , Other          ,      1 ,           8
 31 , 14-18          ,      1 ,           9
 32 , 19-24          ,      1 ,           9
 33 , 25-30          ,      1 ,           9
 34 , 31-35          ,      1 ,           9
 35 , 36-45          ,      1 ,           9
 36 , Above 45       ,      1 ,           9
 37 , Male           ,      1 ,          10
 38 , Female         ,      1 ,          10
 39 , Michelle       ,      1 ,          11
 40 , Salma          ,      1 ,          11
