  id  ,          date_added           , choice_id , question_id 
1, 2018-10-03 10:51:55.471327+03 ,1,1
2, 2018-10-03 10:51:55.488401+03 ,10,4
3, 2018-10-03 18:09:52.7729+03   ,13,5
4, 2018-10-03 18:09:52.791622+03 ,13,1
5, 2018-10-03 18:09:52.815152+03 ,13,4
6, 2018-10-03 18:09:52.835984+03 ,15,2
7, 2018-10-03 18:09:52.856655+03 ,14,3
8, 2018-10-03 18:09:52.877298+03 ,14,7
9, 2018-10-03 18:09:52.898156+03 ,13,6
10, 2018-10-03 18:11:05.06583+03  ,13,5
11, 2018-10-03 18:11:05.069849+03 ,13,1
12, 2018-10-03 18:11:05.079571+03 ,13,4
13, 2018-10-03 18:11:05.085571+03 ,15,3
14, 2018-10-03 18:11:05.091625+03 ,14,7
15, 2018-10-03 18:11:05.097597+03 ,14,6
16, 2018-10-03 18:11:05.103597+03 ,13,2
17, 2018-10-03 18:15:01.488342+03 ,13,5
18, 2018-10-03 18:15:01.502636+03 ,10,4
19, 2018-10-03 18:15:51.425828+03 ,1,1
20, 2018-10-03 18:16:01.285724+03 ,16,6
21, 2018-10-03 18:16:45.216064+03 ,13,5
22, 2018-10-03 18:16:45.230269+03 ,10,4
23, 2018-10-03 18:16:45.238273+03 ,4,2
24, 2018-10-03 18:17:02.087612+03 ,13,5
25, 2018-10-03 18:17:02.091603+03 ,2,1
26, 2018-10-03 18:17:02.094746+03 ,12,4
27, 2018-10-03 18:20:06.698593+03 ,13,5
28, 2018-10-03 18:20:06.726423+03 ,14,1
29, 2018-10-03 18:20:06.747206+03 ,14,4
30, 2018-10-03 18:20:06.767742+03 ,13,3
31, 2018-10-03 18:20:06.788227+03 ,13,7
32, 2018-10-05 10:09:06.992382+03 ,14,5
33, 2018-10-05 10:09:06.996464+03 ,32,9
34, 2018-10-05 10:09:07.002531+03 ,2,1
35, 2018-10-05 10:09:07.00848+03  ,10,4
36, 2018-10-05 10:09:07.014874+03 ,4,2
37, 2018-10-05 10:09:07.020592+03 ,28,8
38, 2018-10-05 10:09:07.026441+03 ,5,2
39, 2018-10-05 10:09:07.032434+03 ,7,3
40, 2018-10-05 10:09:07.038447+03 ,20,7
41, 2018-10-05 10:09:07.04449+03  ,22,10
42, 2018-10-05 10:09:07.050465+03 ,38,6
43, 2018-10-05 10:09:07.056473+03 ,16,11
44, 2018-10-05 10:10:18.12057+03  ,13,5
45, 2018-10-05 10:10:18.148065+03 ,36,9
46, 2018-10-05 10:10:18.168587+03 ,1,1
47, 2018-10-05 10:10:18.188925+03 ,10,4
48, 2018-10-05 10:10:18.209266+03 ,28,8
49, 2018-10-05 10:10:18.229659+03 ,7,3
50, 2018-10-05 10:10:18.2502+03   ,21,7
51, 2018-10-05 10:10:18.269677+03 ,38,10
52, 2018-10-05 10:10:18.289064+03 ,16,6
53, 2018-10-05 10:10:18.308518+03 ,39,11
54, 2018-10-05 10:11:42.149022+03 ,13,5
55, 2018-10-05 10:11:42.153039+03 ,36,9
56, 2018-10-05 10:11:42.159155+03 ,1,1
57, 2018-10-05 10:11:42.165149+03 ,10,4
